SCRUBS|2|1|patient is deceased|pacient je mrtvý
SCRUBS|2|1|scrub|bezvýznamný člověk
SCRUBS|2|1|insensitive|necitlivé
SCRUBS|1|1|puke|dávit
SCRUBS|2|1|stay sane|zůstat zdravý
SCRUBS|2|1|quickie|rychlovka
SCRUBS|2|1|jerk|záporák
SCRUBS|2|1|it's a piece of cake|brnkačka
SCRUBS|2|1|autopsy|pitva
SCRUBS|2|1|dork|ňouma
SCRUBS|2|1|I'm the man|jsem pašák
SCRUBS|2|1|janitor|správce
SCRUBS|1|1|you tattled yesterday|žvanila jsi včera
SCRUBS|1|1|don't rush me|nepospíchej se mnou
SCRUBS|1|1|I reached it|dosáhl jsem toho
SCRUBS|2|1|freckles|pihy
SCRUBS|2|1|rash|vyrážka
SCRUBS|1|1|ligament|šlacha
SCRUBS|2|1|in my gut I know I'm right|ve svých útrobách vím, že mám pravdu
SCRUBS|4|1|tag|běhat za někým
SCRUBS|2|1|neat old lady|milá stará paní
SCRUBS|2|1|O|kyslík
SCRUBS|2|1|heart beat|tep
SCRUBS|1|1|stall|oddalování
SCRUBS|1|1|it did not come up|nepřišla na to řeč
SCRUBS|2|1|cherry soda|višňová sodovka
SCRUBS|2|1|ginger lemonade|zázvorová limonáda
SCRUBS|1|1|you made the right call|udělala jsi správné rozhodnutí
SCRUBS|2|1|I am not flashing my brests|neodhaluji svoje prsa
SCRUBS|2|0|cuddle|obejmout
SCRUBS|2|1|boobs|kozy (prsa)
SCRUBS|2|1|cheaf of medicine|primář
SCRUBS|2|0|hiney|zadek
SCRUBS|2|1|board|správní rada
SCRUBS|2|1|intern|praktikant
SCRUBS|2|1|shrink|cvokař
SCRUBS|2|1|race frogs|žabí závody
SCRUBS|1|1|you put|ty jsi jouda, moula
SCRUBS|2|1|bite mark|cucflek
SCRUBS|2|1|low blow|podpásovka
SCRUBS|2|1|I nothing you|jsi mi ukradený
SCRUBS|2|1|back in 93|v roce 1993
SCRUBS|2|1|I am bulletproof|jsem nedotknutelný
SCRUBS|2|1|philosophy is tricky|filosofie je složitá
SCRUBS|2|1|gause|gáza
SCRUBS|2|1|nick the colon|rozřezat tlusté střevo
SCRUBS|2|1|drool|slintat
SCRUBS|2|1|fart|prdět
SCRUBS|1|1|hiccup|škytnutí
SCRUBS|1|1|attendance|návštěva
SCRUBS|1|1|pansy|bábovka, teplouš
SCRUBS|1|1|pottasium|draslík
SCRUBS|2|1|fist|pěst
SCRUBS|2|1|darn well|zatraceně dobře
SCRUBS|2|1|vulnerable|zranitelně
SCRUBS|2|1|muffin|vdolek
SCRUBS|2|1|big bad wolf thing|velký zlý vlk
SCRUBS|1|1|tip|spropitné
SCRUBS|2|1|that's gross|to je nechutné
SCRUBS|2|1|/nepy nep/|šlofík
SCRUBS|1|1|overhelm|zavalit
SCRUBS|2|1|point is|jde mi o to
SCRUBS|2|1|damn|sakra
SCRUBS|2|1|buddy boy|panáčku
SCRUBS|2|1|for God sake|pro Kristovy rány
SCRUBS|1|1|prank|žert
SCRUBS|2|1|I owe you|jsem ti zavázán
SCRUBS|2|1|skipper|kapitáne
SCRUBS|2|1|walrus|mrož
SCRUBS|1|1|darn right|to si piš
SCRUBS|2|1|stubborn|tvrdohlavý
SCRUBS|1|1|sweet thank|chytráku
SCRUBS|1|1|change this pattern|změnit tuhle rutinu
SCRUBS|2|1|whinyface|ufňukaný ksicht
SCRUBS|2|1|I owed it to the ladies|dlužím to těm dívkám
SCRUBS|1|1|oh get out|neříkej
SCRUBS|2|1|for studs|pro borce
SCRUBS|2|1|anticipation is killing me|čekání mě zabíjí
SCRUBS|1|0|make your case|objasni mi to
SCRUBS|2|1|I am a skank|jsem jako prase
SCRUBS|2|1|it's like riptide|je to jako osud
SCRUBS|2|0|i'm offended|jsem uražen
SCRUBS|2|0|to make it right|abych to napravil
SCRUBS|2|0|it makes you more girly|vypadáš ještě víc zženštile
SCRUBS|2|1|dude|chlape
SCRUBS|1|1|then he comes out|pak se probudil
SCRUBS|2|0|go get him|jdi na něho
SCRUBS|1|1|rallying people|přesvědčování lidí
SCRUBS|2|1|Mass|mše
SCRUBS|2|1|he was really mad at me|byl na mě skutečně naštvaný
SCRUBS|2|1|church crackers|oplatky v kostele
SCRUBS|1|1|he is fading away|ztrácí se
SCRUBS|2|1|I feel abandoned|cítím se opuštěný
SCRUBS|2|1|I told on him|žaloval jsem na něho
SCRUBS|2|1|breast-feeding|kojit
SCRUBS|2|1|are you gonna tattle on me|chceš na mě žalovat
SCRUBS|2|1|be unaffected|odolat tomu
SCRUBS|1|1|bigger dork|větší vůl
SCRUBS|2|1|you are so lame|to bylo tak ubohé
SCRUBS|1|1|crap|sakra
SCRUBS|2|1|Q-tip|vrabčáku
